number,value,datetime_start,datetime_complete,duration,params_C,params_bootstrap,params_classifier,params_criterion,params_learning_rate,params_max_depth,params_max_features,params_max_iter,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_penalty,params_replacement,params_solver,state
53,0.8644068850121075,2026-04-20 14:05:03.870270,2026-04-20 14:05:30.344695,0 days 00:00:26.474425,,True,BalancedRandomForestClassifier,entropy,,14.0,log2,,10.0,2.0,274.0,,True,,COMPLETE
54,0.8641447937621661,2026-04-20 14:05:30.345916,2026-04-20 14:05:54.115185,0 days 00:00:23.769269,,True,BalancedRandomForestClassifier,entropy,,19.0,log2,,8.0,2.0,228.0,,True,,COMPLETE
55,0.864409847564712,2026-04-20 14:05:54.116244,2026-04-20 14:06:21.812193,0 days 00:00:27.695949,,True,BalancedRandomForestClassifier,entropy,,13.0,log2,,9.0,3.0,290.0,,True,,COMPLETE
56,0.8644959326344765,2026-04-20 14:06:21.813311,2026-04-20 14:06:48.385426,0 days 00:00:26.572115,,True,BalancedRandomForestClassifier,entropy,,15.0,log2,,10.0,2.0,273.0,,True,,COMPLETE
57,0.8512632696284886,2026-04-20 14:06:48.386545,2026-04-20 14:06:49.807366,0 days 00:00:01.420821,0.12739904403291333,,LogisticRegression,,,,,483.0,,,,l2,,saga,COMPLETE
58,0.8627629356770711,2026-04-20 14:06:49.808430,2026-04-20 14:07:40.899365,0 days 00:00:51.090935,,True,BalancedRandomForestClassifier,entropy,,16.0,,,8.0,3.0,253.0,,True,,COMPLETE
59,0.8286931838373492,2026-04-20 14:07:40.902094,2026-04-20 14:07:56.986633,0 days 00:00:16.084539,,,xgb,,0.09194610992250352,14.0,,,,,291.0,,,,COMPLETE
60,0.8644673865138096,2026-04-20 14:07:56.989751,2026-04-20 14:08:24.498887,0 days 00:00:27.509136,,True,BalancedRandomForestClassifier,entropy,,17.0,log2,,9.0,2.0,282.0,,True,,COMPLETE
61,0.8646428363850616,2026-04-20 14:08:24.500084,2026-04-20 14:08:46.558938,0 days 00:00:22.058854,,True,BalancedRandomForestClassifier,entropy,,11.0,log2,,4.0,2.0,236.0,,False,,COMPLETE
62,0.8642281703547458,2026-04-20 14:08:46.560074,2026-04-20 14:09:08.965957,0 days 00:00:22.405883,,True,BalancedRandomForestClassifier,entropy,,11.0,log2,,3.0,2.0,246.0,,True,,COMPLETE
63,0.8642892397897385,2026-04-20 14:09:08.967111,2026-04-20 14:09:38.131100,0 days 00:00:29.163989,,True,BalancedRandomForestClassifier,entropy,,13.0,log2,,2.0,2.0,280.0,,False,,COMPLETE
64,0.8643975905014983,2026-04-20 14:09:38.132200,2026-04-20 14:10:04.843999,0 days 00:00:26.711799,,True,BalancedRandomForestClassifier,entropy,,14.0,log2,,5.0,3.0,269.0,,True,,COMPLETE
65,0.8644518380945074,2026-04-20 14:10:04.845209,2026-04-20 14:10:26.726960,0 days 00:00:21.881751,,True,BalancedRandomForestClassifier,entropy,,10.0,sqrt,,4.0,2.0,232.0,,False,,COMPLETE
66,0.8639466564505099,2026-04-20 14:10:26.728358,2026-04-20 14:10:51.218450,0 days 00:00:24.490092,,True,BalancedRandomForestClassifier,entropy,,12.0,log2,,3.0,3.0,254.0,,True,,COMPLETE
67,0.8643908649756868,2026-04-20 14:10:51.219585,2026-04-20 14:11:20.218490,0 days 00:00:28.998905,,True,BalancedRandomForestClassifier,entropy,,15.0,log2,,8.0,2.0,292.0,,True,,COMPLETE
68,0.863646111799163,2026-04-20 14:11:20.219641,2026-04-20 14:11:46.855282,0 days 00:00:26.635641,,False,BalancedRandomForestClassifier,gini,,9.0,log2,,10.0,3.0,264.0,,False,,COMPLETE
69,0.864262885692299,2026-04-20 14:11:46.856507,2026-04-20 14:12:18.253221,0 days 00:00:31.396714,,True,BalancedRandomForestClassifier,entropy,,16.0,log2,,5.0,4.0,300.0,,True,,COMPLETE
70,0.8649144446691821,2026-04-20 14:12:18.255013,2026-04-20 14:12:23.022151,0 days 00:00:04.767138,,,xgb,,0.026271901563154103,4.0,,,,,291.0,,,,COMPLETE
71,0.8640597366184455,2026-04-20 14:12:23.023126,2026-04-20 14:12:28.191268,0 days 00:00:05.168142,,,xgb,,0.02255436510712641,6.0,,,,,292.0,,,,COMPLETE
72,0.8649222047635322,2026-04-20 14:12:28.194110,2026-04-20 14:12:34.237552,0 days 00:00:06.043442,,,xgb,,0.030665453219252892,4.0,,,,,283.0,,,,COMPLETE
73,0.864816969381753,2026-04-20 14:12:34.238779,2026-04-20 14:12:38.432268,0 days 00:00:04.193489,,,xgb,,0.029598111856645182,5.0,,,,,281.0,,,,COMPLETE
74,0.8640736244140905,2026-04-20 14:12:38.434719,2026-04-20 14:12:41.587318,0 days 00:00:03.152599,,,xgb,,0.03007618485525894,3.0,,,,,282.0,,,,COMPLETE
75,0.8644722056436627,2026-04-20 14:12:41.590455,2026-04-20 14:12:47.810285,0 days 00:00:06.219830,,,xgb,,0.022539986942377417,4.0,,,,,292.0,,,,COMPLETE
76,0.8650748924663151,2026-04-20 14:12:47.811713,2026-04-20 14:12:51.069666,0 days 00:00:03.257953,,,xgb,,0.03950721172835708,4.0,,,,,258.0,,,,COMPLETE
77,0.8646359464575077,2026-04-20 14:12:51.071862,2026-04-20 14:12:53.772208,0 days 00:00:02.700346,,,xgb,,0.03583666019135435,4.0,,,,,201.0,,,,COMPLETE
78,0.8646958800259191,2026-04-20 14:12:53.773581,2026-04-20 14:13:00.557830,0 days 00:00:06.784249,,,xgb,,0.02181261709886929,5.0,,,,,280.0,,,,COMPLETE
79,0.8645684138752413,2026-04-20 14:13:00.559526,2026-04-20 14:13:04.887591,0 days 00:00:04.328065,,,xgb,,0.019881611564865027,5.0,,,,,280.0,,,,COMPLETE
80,0.8606453382806633,2026-04-20 14:13:04.888772,2026-04-20 14:13:06.490736,0 days 00:00:01.601964,,,xgb,,0.03032376851356769,3.0,,,,,127.0,,,,COMPLETE
81,0.8633416680034688,2026-04-20 14:13:06.491945,2026-04-20 14:13:11.917432,0 days 00:00:05.425487,,,xgb,,0.06382269641865107,5.0,,,,,295.0,,,,COMPLETE
82,0.8652494970801254,2026-04-20 14:13:11.919291,2026-04-20 14:13:16.492548,0 days 00:00:04.573257,,,xgb,,0.04525617854575197,4.0,,,,,265.0,,,,COMPLETE
83,0.8649882278388943,2026-04-20 14:13:16.495137,2026-04-20 14:13:20.121263,0 days 00:00:03.626126,,,xgb,,0.04391715689679431,4.0,,,,,285.0,,,,COMPLETE
84,0.865150183482308,2026-04-20 14:13:20.124402,2026-04-20 14:13:23.565641,0 days 00:00:03.441239,,,xgb,,0.045069568459580565,4.0,,,,,265.0,,,,COMPLETE
85,0.8650564910955699,2026-04-20 14:13:23.566607,2026-04-20 14:13:29.387659,0 days 00:00:05.821052,,,xgb,,0.04542040135257218,4.0,,,,,262.0,,,,COMPLETE
86,0.8649938839230705,2026-04-20 14:13:29.388798,2026-04-20 14:13:32.644115,0 days 00:00:03.255317,,,xgb,,0.044295915079306115,4.0,,,,,258.0,,,,COMPLETE
87,0.8650136104714942,2026-04-20 14:13:32.645209,2026-04-20 14:13:35.784977,0 days 00:00:03.139768,,,xgb,,0.048926604147718315,4.0,,,,,254.0,,,,COMPLETE
88,0.8650511040324261,2026-04-20 14:13:35.786842,2026-04-20 14:13:41.510608,0 days 00:00:05.723766,,,xgb,,0.05093323038183698,4.0,,,,,258.0,,,,COMPLETE
89,0.8645576995314053,2026-04-20 14:13:41.513101,2026-04-20 14:13:44.016721,0 days 00:00:02.503620,,,xgb,,0.04845277008307892,3.0,,,,,221.0,,,,COMPLETE
90,0.8632050734045476,2026-04-20 14:13:44.017752,2026-04-20 14:13:48.097881,0 days 00:00:04.080129,,,xgb,,0.0464665622906427,6.0,,,,,247.0,,,,COMPLETE
91,0.8649387379326631,2026-04-20 14:13:48.100100,2026-04-20 14:13:53.622604,0 days 00:00:05.522504,,,xgb,,0.0529751893119846,4.0,,,,,255.0,,,,COMPLETE
92,0.8649367485055217,2026-04-20 14:13:53.626094,2026-04-20 14:13:56.998001,0 days 00:00:03.371907,,,xgb,,0.054374651793602465,4.0,,,,,258.0,,,,COMPLETE
93,0.864965767903931,2026-04-20 14:13:57.000543,2026-04-20 14:14:00.312176,0 days 00:00:03.311633,,,xgb,,0.05655095960195627,4.0,,,,,257.0,,,,COMPLETE
94,0.8646291362398898,2026-04-20 14:14:00.314299,2026-04-20 14:14:03.231235,0 days 00:00:02.916936,,,xgb,,0.042788664183074476,3.0,,,,,265.0,,,,COMPLETE
95,0.8624074891469942,2026-04-20 14:14:03.233477,2026-04-20 14:14:09.720374,0 days 00:00:06.486897,,,xgb,,0.06342387442522228,6.0,,,,,242.0,,,,COMPLETE
96,0.8651045711323162,2026-04-20 14:14:09.722481,2026-04-20 14:14:12.945249,0 days 00:00:03.222768,,,xgb,,0.04037295170621261,4.0,,,,,255.0,,,,COMPLETE
97,0.8646180798075802,2026-04-20 14:14:12.948430,2026-04-20 14:14:16.633183,0 days 00:00:03.684753,,,xgb,,0.04055050610095708,5.0,,,,,248.0,,,,COMPLETE
98,0.8641474872937381,2026-04-20 14:14:16.635608,2026-04-20 14:14:21.866737,0 days 00:00:05.231129,,,xgb,,0.03845746958526532,3.0,,,,,237.0,,,,COMPLETE
99,0.861204161390035,2026-04-20 14:14:21.868555,2026-04-20 14:14:26.831352,0 days 00:00:04.962797,,,xgb,,0.047372105440073406,7.0,,,,,260.0,,,,COMPLETE
